date,open,high,low,close,volume,average,barCount,ticker
2024-03-21,229.11,231.69,228.99,229.12,1845115.0,230.228,12524,AXP
2024-03-22,229.05,230.54,225.91,225.96,1046675.0,227.482,6881,AXP
2024-03-25,225.34,226.99,225.23,226.03,1064390.0,226.183,7367,AXP
2024-03-26,226.62,226.87,224.32,224.46,806924.0,225.829,5771,AXP
2024-03-27,227.2,228.0,225.14,227.75,869597.0,226.511,5937,AXP
2024-03-28,228.46,228.46,226.34,227.69,832002.0,227.392,5567,AXP
2024-04-01,227.44,228.57,226.83,227.61,709406.0,227.543,4847,AXP
2024-04-02,226.37,226.97,224.59,225.53,775508.0,225.627,5327,AXP
2024-04-03,225.81,227.26,225.25,226.63,826418.0,226.574,5645,AXP
2024-04-04,229.14,229.68,219.21,219.59,1249535.0,223.465,8862,AXP
2024-04-05,220.0,223.12,219.52,222.46,839143.0,221.79,5770,AXP
2024-04-08,223.46,224.85,223.12,224.11,634635.0,224.127,4439,AXP
2024-04-09,222.99,223.93,217.97,219.84,1824344.0,220.106,11359,AXP
2024-04-10,217.51,219.5,215.52,217.65,1384752.0,217.441,9709,AXP
2024-04-11,217.5,219.18,214.51,218.2,1448112.0,217.251,10937,AXP
2024-04-12,217.0,218.28,216.11,218.2,1164072.0,217.306,8486,AXP
2024-04-15,221.89,222.73,216.82,218.4,1675121.0,219.148,12071,AXP
2024-04-16,217.7,219.38,216.51,218.34,1542702.0,217.938,11516,AXP
2024-04-17,219.56,220.28,216.52,217.67,1134586.0,218.086,8027,AXP
2024-04-18,218.26,221.45,217.17,217.5,1800416.0,219.108,12757,AXP
2024-04-19,218.84,231.6,218.84,231.04,4296465.0,227.511,27058,AXP
2024-04-22,232.03,235.37,227.69,233.0,2938506.0,231.883,18971,AXP
2024-04-23,234.77,239.42,233.67,238.96,2475696.0,237.736,14754,AXP
2024-04-24,238.27,240.55,237.97,239.12,2070592.0,239.176,13255,AXP
2024-04-25,238.13,238.45,235.4,237.1,1786017.0,237.097,11955,AXP
2024-04-26,236.0,236.92,234.42,235.64,1518737.0,235.939,9113,AXP
2024-04-29,236.59,239.12,235.64,238.92,1906566.0,237.494,11089,AXP
2024-04-30,237.88,239.61,233.77,234.03,1472139.0,235.963,9933,AXP
2024-05-01,233.22,235.14,231.23,231.46,1833696.0,232.67,12358,AXP
2024-05-02,233.58,233.95,230.91,232.5,1446479.0,232.452,9437,AXP
2024-05-03,233.26,233.35,229.13,230.77,1675456.0,230.939,12630,AXP
2024-05-06,232.3,234.57,231.32,234.33,1137295.0,232.996,7720,AXP
2024-05-07,235.5,236.0,233.41,234.66,1016582.0,234.882,6746,AXP
2024-05-08,234.4,236.85,233.52,236.24,1067512.0,235.494,7797,AXP
2024-05-09,235.96,239.38,235.56,239.14,1202259.0,238.078,8613,AXP
2024-05-10,240.5,243.54,240.31,242.3,1315687.0,241.531,9304,AXP
2024-05-13,242.95,243.54,238.1,238.65,1502667.0,240.187,10243,AXP
2024-05-14,238.15,242.09,238.1,241.53,1207182.0,240.539,6990,AXP
2024-05-15,241.63,242.87,240.25,241.7,996241.0,241.317,6999,AXP
2024-05-16,241.72,243.35,240.85,241.32,1179487.0,242.202,7997,AXP
2024-05-17,242.8,243.19,241.9,242.82,739807.0,242.668,4975,AXP
2024-05-20,243.11,244.42,242.1,242.3,794936.0,243.018,5816,AXP
2024-05-21,242.34,243.58,241.34,243.08,813416.0,242.775,5710,AXP
2024-05-22,242.91,243.47,239.52,240.09,1066991.0,241.299,7558,AXP
2024-05-23,240.83,240.83,235.12,235.46,1263425.0,237.209,9450,AXP
2024-05-24,236.86,240.07,236.69,238.18,787342.0,238.806,5264,AXP
2024-05-28,237.75,238.47,235.88,237.25,1136655.0,237.01,7836,AXP
2024-05-29,235.45,237.66,234.66,235.94,1213016.0,236.572,8833,AXP
2024-05-30,236.37,237.32,234.97,237.22,903928.0,236.25,6452,AXP
2024-05-31,238.0,240.19,235.91,240.0,1812991.0,237.543,11589,AXP
2024-06-03,240.18,241.36,233.53,236.88,1345411.0,236.435,8462,AXP
2024-06-04,236.39,240.0,235.73,237.25,1312418.0,237.294,9178,AXP
2024-06-05,236.25,237.7,233.7,234.69,1459592.0,235.087,9742,AXP
2024-06-06,234.79,236.4,232.7,233.35,1346011.0,233.896,9059,AXP
2024-06-07,232.41,234.13,231.71,232.67,1131283.0,232.863,7624,AXP
2024-06-10,231.95,233.93,230.6,232.44,1526886.0,232.814,9554,AXP
2024-06-11,231.64,231.64,224.21,224.53,1600881.0,226.034,10344,AXP
2024-06-12,227.43,228.4,222.83,224.04,1625446.0,225.334,10971,AXP
2024-06-13,223.41,223.75,220.74,222.19,1415077.0,222.033,9387,AXP
2024-06-14,221.38,225.64,221.34,224.82,1107207.0,223.999,7447,AXP
2024-06-17,224.2,228.47,224.02,228.27,1074760.0,226.295,7148,AXP
2024-06-18,227.58,229.31,226.77,229.31,847764.0,228.135,5301,AXP
2024-06-20,228.56,231.68,226.44,230.21,1243826.0,229.243,8126,AXP
2024-06-21,231.11,231.11,227.5,230.38,1712946.0,230.533,4859,AXP
2024-06-24,231.68,233.9,230.2,231.47,784533.0,232.351,4777,AXP
2024-06-25,230.86,231.3,228.53,230.59,1105202.0,230.091,4796,AXP
2024-06-26,230.04,232.49,229.14,230.68,954844.0,230.969,6654,AXP
2024-06-27,229.79,230.33,227.37,228.4,1092935.0,228.557,7120,AXP
2024-06-28,229.25,233.6,228.74,231.55,1087700.0,231.496,7434,AXP
2024-07-01,232.33,234.8,231.55,233.81,1294592.0,233.483,8974,AXP
2024-07-02,233.55,236.19,232.97,235.97,864800.0,234.698,6022,AXP
2024-07-03,236.5,237.58,235.19,235.71,609852.0,236.123,4173,AXP
2024-07-05,235.71,236.7,233.56,235.63,1090349.0,235.324,7343,AXP
2024-07-08,236.23,239.5,233.76,234.51,1121406.0,235.568,7742,AXP
2024-07-09,234.97,239.2,234.12,237.75,902950.0,236.646,6444,AXP
2024-07-10,236.57,239.45,235.62,238.93,838899.0,237.446,5531,AXP
2024-07-11,238.87,239.95,236.96,238.75,765936.0,238.694,5166,AXP
2024-07-12,239.0,240.26,237.23,238.63,1411260.0,239.101,9446,AXP
2024-07-15,240.45,244.66,240.45,244.0,1509626.0,243.292,10395,AXP
2024-07-16,244.14,249.76,243.8,249.63,1519044.0,247.701,9847,AXP
2024-07-17,248.81,250.84,247.38,249.96,1060457.0,249.557,7208,AXP
2024-07-18,250.8,253.73,247.75,249.2,2052030.0,250.631,14405,AXP
2024-07-19,241.8,243.38,237.65,242.38,2975312.0,240.673,19532,AXP
2024-07-22,243.01,245.61,239.9,244.75,1347141.0,243.635,9010,AXP
2024-07-23,246.96,248.99,245.04,246.9,1079973.0,247.504,7277,AXP
2024-07-24,245.0,245.62,240.67,240.99,1393230.0,242.855,9361,AXP
2024-07-25,240.0,244.96,239.39,240.18,2128585.0,241.745,9710,AXP
2024-07-26,241.93,246.39,241.88,245.89,925104.0,244.619,5940,AXP
2024-07-29,246.63,247.96,244.31,247.89,1050409.0,246.451,5862,AXP
2024-07-30,249.46,253.68,249.23,252.48,1026757.0,251.883,6660,AXP
2024-07-31,253.11,256.24,252.43,253.04,1022009.0,254.298,6206,AXP
2024-08-01,253.85,255.0,246.41,248.68,1949289.0,248.972,13269,AXP
2024-08-02,244.51,244.65,230.05,232.28,3608232.0,234.566,25057,AXP
2024-08-05,226.64,230.78,222.03,225.92,2531621.0,227.185,16445,AXP
2024-08-06,226.96,233.18,226.5,231.12,1515695.0,231.087,9779,AXP
2024-08-07,234.02,236.17,228.51,228.8,1253652.0,231.615,7761,AXP
2024-08-08,231.05,234.5,231.01,233.54,844679.0,233.51,5317,AXP
2024-08-09,233.52,238.34,233.09,237.85,858431.0,236.751,5934,AXP
2024-08-12,238.2,238.99,235.39,237.05,917558.0,237.184,5548,AXP
2024-08-13,238.71,239.27,236.47,238.99,1153397.0,238.361,4870,AXP
2024-08-14,239.81,244.09,239.51,243.76,1094384.0,242.259,6953,AXP
2024-08-15,247.77,250.36,245.35,249.5,1352027.0,247.987,9144,AXP
2024-08-16,249.39,251.75,249.13,251.71,1034160.0,250.652,6339,AXP
2024-08-19,252.0,254.11,251.84,254.05,734110.0,253.311,4900,AXP
2024-08-20,254.22,254.62,252.26,253.08,646862.0,253.313,4304,AXP
2024-08-21,249.64,249.82,243.35,246.3,2028600.0,245.907,11710,AXP
2024-08-22,246.77,248.92,245.75,247.76,930999.0,247.414,5767,AXP
2024-08-23,248.0,252.17,248.0,251.3,848830.0,250.68,5307,AXP
2024-08-26,252.42,256.16,251.95,253.88,769948.0,254.077,5051,AXP
2024-08-27,253.7,256.68,253.7,255.03,835027.0,254.957,5599,AXP
2024-08-28,254.21,258.63,253.75,257.09,1315552.0,256.084,8218,AXP
2024-08-29,258.0,261.57,256.82,259.84,1114552.0,259.672,7100,AXP
2024-08-30,260.49,261.75,256.1,258.65,1608430.0,258.125,10367,AXP
2024-09-03,255.77,257.48,252.79,254.31,1447154.0,255.278,10840,AXP
2024-09-04,254.99,256.58,252.48,253.52,771307.0,254.704,4810,AXP
2024-01-02,287.67,300.65,287.28,297.39,1445678.0,296.976,9183,AMGN
